street,district,rent_per_square_meter,rent_without_expenses,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_rent_1,most_similar_rent_2,most_similar_rent_3,most_similar_rent_4,most_similar_rent_5,most_similar_district_1,most_similar_district_2,most_similar_district_3,most_similar_district_4,most_similar_district_5,count,geometry_street
Marselis Boulevard,Holme-Højbjerg-Skåde,112.8,9875.416666666666,Høegh-Guldbergs Gade,Viby Torv,Tousvej,Carl Jensens Vej,P. P. Ørums Gade,112.8,112.7,113.0,113.0,112.5,Ø-gaderne Øst,Viby,Åby,Viby,Holme-Højbjerg-Skåde,12,"MULTILINESTRING ((573212.0479175667 6222210.27709277, 573210.2338318216 6222200.0691705635, 573208.0981581489 6222180.1532243965, 573208.0981581489 6222176.78391021, 573209.1123969974 6222173.744528868, 573211.470708466 6222172.61475883, 573212.9384687507 6222172.284825986, 573219.3454897688 6222172.054872792, 573236.8926464308 6222173.9644840965, 573248.0245362305 6222176.214026209), (573279.4659405312 6222212.766586041, 573281.8984645986 6222200.119160388, 573285.2380315386 6222184.382363567, 573287.9344226234 6222178.023657864, 573306.2154594277 6222156.887959974), (573877.1412267976 6222160.2172823, 573882.0804875309 6222243.350360802), (573829.9090306698 6222156.068126848, 573834.3782782783 6222230.4929778855), (573307.9058575083 6222190.381142533, 573307.8316449097 6222184.93225164, 573301.0618067426 6222183.822477531), (573312.4740552483 6222191.330949203, 573312.770905643 6222188.021622807, 573333.4514831376 6222189.491323654), (573003.6754322055 6222268.485244669, 573008.9032974893 6222286.75152662, 573017.0749291866 6222323.284090523, 573089.5806380819 6222302.818256284), (574545.260760885 6222436.780988557, 574552.5335955542 6222401.418186554), (574747.2014876953 6222535.090977843, 574730.2562776669 6222522.42355626, 574687.8149170751 6222493.639415189, 574679.9401357725 6222488.370487664, 574668.5691164881 6222482.671647646, 574593.614391837 6222454.147453664, 574557.3821520002 6222440.850160289, 574545.260760885 6222436.780988557), (574545.260760885 6222436.780988557, 574521.9909882816 6222429.192533165, 574497.0967843517 6222423.273737919, 574436.019815651 6222411.466141321, 574359.704526691 6222396.079273273, 574353.0996054099 6222395.399411658, 574347.0471556965 6222396.379212222, 574342.9242335486 6222398.118858122, 574338.7930655562 6222400.228428725, 574335.4370069277 6222402.8978853645, 574332.633419867 6222406.677116114, 574330.4070419071 6222411.016232898, 574328.5599727848 6222416.7350688465, 574328.08995966 6222420.744252789, 574323.2331573695 6222449.678363333, 574321.1304670741 6222457.116849252, 574318.285650792 6222463.265597692, 574315.8696184132 6222467.424751108, 574311.4745834034 6222473.17358095, 574307.5000864527 6222477.292742507, 574289.9199464135 6222489.9001763), (574795.6870521561 6222492.349677711, 574821.8428702631 6222494.799179122, 574836.4462605114 6222500.218076121, 574881.0480323088 6222522.233594926, 574904.3920175108 6222535.680857775, 574924.478894216 6222549.068132834, 574931.1167988743 6222553.737182463, 574954.9637805786 6222571.313604833, 574968.2478357395 6222582.741278762, 574979.7260509996 6222592.129367844, 574988.5326127078 6222599.947776429, 574998.4028883302 6222608.286079192, 575007.2341875712 6222614.314852052, 575015.0100187424 6222619.053887436, 575024.1793975997 6222622.033280989, 575044.9836627585 6222620.303633054), (574795.6870521561 6222492.349677711, 574821.257415318 6222513.905290129, 574840.6104118809 6222522.943450437, 574853.2512911868 6222528.802257894, 574865.5870742537 6222535.920808934, 574892.3943140601 6222552.487436844, 574906.2720700104 6222561.365629714, 574919.1190954236 6222570.533763567, 574924.5448609705 6222574.482959719, 574930.3499353549 6222578.642113135, 574942.3806221827 6222587.7902510585, 574955.1946642188 6222598.228126459, 574969.0641743249 6222610.2156864265, 574992.2679801739 6222630.531551191, 575004.0018166072 6222640.949430661, 575015.4882777116 6222649.837621496, 575028.3517948134 6222658.235912048, 575037.4222235391 6222664.754585191, 575046.4349313546 6222673.322841147, 575050.7062787 6222679.271630288, 575066.554791437 6222698.667682278), (575124.2427181322 6222674.272647817, 575086.5674555436 6222665.214491579, 575068.9873155043 6222658.905775699, 575031.2213486284 6222643.868836424, 575016.6674334459 6222634.94065373, 575006.2941613215 6222627.332202408, 574985.5806004498 6222610.635600953, 574965.5349529661 6222593.319125672, 574951.55000104 6222582.181392726, 574934.44811997 6222569.254024054, 574916.0351496569 6222555.806761205, 574894.4722668227 6222542.049561444, 574872.6537628154 6222528.292361682, 574858.0916017885 6222519.614128111, 574818.7424328078 6222501.057905177, 574806.3984038966 6222496.5688189175, 574803.3309498185 6222495.299077369, 574799.0431107845 6222493.5894253645, 574795.6870521561 6222492.349677711), (574795.6870521561 6222492.349677711, 574755.6864614759 6222477.922614298, 574689.6290028202 6222452.667754852, 574618.2199912164 6222425.653253576, 574564.1602360116 6222405.567342005, 574552.5335955542 6222401.418186554), (574552.5335955542 6222401.418186554, 574550.8431974734 6222400.868298481, 574522.3290678978 6222392.649971298, 574496.0248245933 6222386.681186227, 574350.3372475707 6222357.367153014, 574243.2732052308 6222335.041697295, 574204.5672121051 6222327.893152362, 574130.1649590218 6222312.346316875, 574113.3929117237 6222309.0469884435, 574050.510103122 6222296.189605527, 573969.2555534288 6222278.573191297, 573892.9814936903 6222264.706013921, 573817.6969352673 6222253.578278939, 573749.6192447592 6222245.589904949, 573709.7258500549 6222240.6009204425, 573631.1594456021 6222236.061844358, 573563.5270306859 6222234.662129266, 573422.0530800986 6222231.832705188, 573396.8950091513 6222233.062454876, 573331.4147595963 6222232.802507787, 573270.9149999963 6222231.032867992, 573225.5546105237 6222231.202833396), (573225.5546105237 6222231.202833396, 573155.9102095993 6222234.442174038, 573120.725191988 6222237.901469908, 573099.9374185177 6222241.720692516, 573081.1286476784 6222246.41973604, 573060.6377246027 6222252.46850483, 573034.60559416 6222260.526864574, 573003.6754322055 6222268.485244669), (573003.6754322055 6222268.485244669, 572963.3862369751 6222276.653582028), (573225.5546105237 6222231.202833396, 573223.2705116537 6222207.447668691), (573223.2705116537 6222207.447668691, 573235.0950523742 6222208.177520132, 573273.1496238005 6222212.636612496, 573279.4659405312 6222212.766586041), (573279.4659405312 6222212.766586041, 573300.4928434863 6222213.436449693, 573307.6832197123 6222213.396457832), (573307.6832197123 6222213.396457832, 573312.0700088779 6222213.466443587), (573312.0700088779 6222213.466443587, 573322.0722180089 6222213.466443587), (573223.2705116537 6222207.447668691, 573212.0479175667 6222210.27709277), (573212.0479175667 6222210.27709277, 573187.8958396236 6222216.3058656305, 573167.0256077104 6222218.785360937), (573307.6832197123 6222213.396457832, 573307.9058575083 6222190.381142533), (573312.0700088779 6222213.466443587, 573312.4740552483 6222191.330949203), (574050.0153524643 6222201.568865305, 574035.3459954616 6222271.334664678), (574181.3386687231 6222216.675790334, 574170.3964333422 6222298.439147639))"
Marstrandsgade,Ceresbyen/Godsbanen,116.7,9415.0,Truevej,Nordborggade,Søndre Ringgade,Ryhavevej,De Mezas Vej,116.7,116.8,116.8,116.9,117.2,Brabrand-Gellerup,Viby,Viby,Hasle,Frederiksbjerg Vest,3,"LINESTRING (574469.7700563547 6224014.559836236, 574467.551924239 6224003.482091079, 574467.411744886 6223993.564109855, 574465.2430878362 6223991.124606409, 574407.4314734766 6223934.546122796, 574356.0021426021 6223884.326344886, 574306.1477679882 6223836.126155895)"
Mejlgade,Latinerkvarteret,129.7,10038.947368421053,Harald Selmers Vej,Brendstrupgårdsvej,Hjortensgade,Eckersbergsgade,Bissensgade,129.7,129.5,130.0,130.0,130.0,Vejlby-Risskov,Skejby-Christiansbjerg,Botanisk Have/Amtssygehuset,Rådhuskvarteret,Ceresbyen/Godsbanen,19,"MULTILINESTRING ((575247.8231865971 6224164.899235086, 575248.8869005112 6224168.178567587, 575252.5645470673 6224183.715405108, 575258.2541796316 6224208.500360203, 575260.6702120103 6224219.978023957, 575262.2286765822 6224229.16615374, 575267.6379504405 6224266.938465295, 575280.4684841651 6224343.402901181, 575284.781060732 6224368.447803363, 575286.454967124 6224379.275599397, 575286.2488210166 6224389.423533814, 575286.3642628368 6224402.370898415, 575286.3807545254 6224410.949152336, 575286.4384754355 6224417.4278336195, 575287.0239303805 6224425.4861933645, 575287.8567606544 6224430.405192116, 575289.2338166519 6224436.204011783, 575291.2870318815 6224445.52211511, 575293.1423468482 6224455.360112614, 575295.7727711786 6224463.638427587, 575299.8049890393 6224475.705971274, 575305.0163626345 6224485.963883305, 575311.2667126108 6224499.911044401, 575318.2591885739 6224513.878201427, 575326.199936631 6224527.685391013, 575331.4278019147 6224536.543587953, 575336.4660127796 6224545.921679069, 575341.3063233814 6224555.819664363, 575362.1848011389 6224598.880899373, 575368.6660347556 6224614.037814227, 575380.2926752131 6224638.722789671, 575386.5512710338 6224651.970093221, 575393.5684845297 6224669.7764687855, 575402.1359167533 6224693.161708787, 575417.7288083172 6224730.764054938, 575420.647837198 6224737.632656855, 575425.5128853327 6224746.310890425, 575463.8560613092 6224812.29745905), (575463.8560613092 6224812.29745905, 575466.5689440827 6224818.0562868565, 575467.7893290385 6224822.105462659, 575509.0103046745 6224905.638459759), (575463.8560613092 6224812.29745905, 575469.1004182816 6224813.157284034), (575469.1004182816 6224813.157284034, 575495.8911663995 6224811.497621854, 575503.3124262659 6224810.927737853), (575469.1004182816 6224813.157284034, 575472.1843640483 6224818.806134228, 575484.5119012708 6224839.871846363, 575490.3334673439 6224851.349510117))"
Mindegade,Fredens Torv,132.7,10250.0,Rosenkrantzgade,Dannebrogsgade,Langelandsgade,Tretommervej,Torsøvej,132.6,132.8,132.8,132.5,133.1,Rådhuskvarteret,Frederiksbjerg Vest,Vestervang/Klostervang/Ø-gaderne,Vejlby-Risskov,Vejlby-Risskov,3,"LINESTRING (575206.4290482309 6223894.504273199, 575218.1958680414 6223880.077209786, 575234.8029984536 6223861.860917659, 575254.1065199507 6223841.53505493, 575262.9213275032 6223831.837028935, 575296.7045515841 6223793.594813027)"
Molsgade,Østbanetorvet/Nørre Stenbro,94.0,4250.0,Pilevangen,Dalvej,Engskovvænget,Skt. Anna Gade,Skådehøjen,94.0,94.0,94.0,94.0,95.0,Solbjerg,Viby,Skødstrup-Løgten,Frederiksbjerg Øst,Holme-Højbjerg-Skåde,1,"LINESTRING (575463.8560613092 6224812.29745905, 575415.8075265962 6224844.940814589, 575389.1816953643 6224862.797179977, 575367.2230120038 6224878.284027674)"
Moltkesvej,Viby,87.0,4900.0,Hasselvangen,Beder Landevej,Stenhøjgårdsvej,Spørring Kirkevej,Bangsboparken,87.0,87.0,87.0,88.0,86.0,Solbjerg,Beder-Malling,Beder-Malling,Trige-Spørring,Skødstrup-Løgten,1,"MULTILINESTRING ((571482.3418971172 6220193.667567807, 571501.5876977042 6220171.732032722, 571547.1130040627 6220124.061735873, 571576.5671598882 6220092.978062864, 571587.756770598 6220081.530393004, 571594.3534460348 6220074.191886736, 571595.9119106068 6220072.082316133), (571595.9119106068 6220072.082316133, 571601.5685597939 6220064.363887197, 571606.2439535097 6220058.055171318, 571609.4021118751 6220052.066390317, 571612.7829080365 6220043.948042783, 571616.6007339455 6220033.350199943, 571619.3218625633 6220026.0416875705, 571630.4455065186 6219995.117982001), (571630.4455065186 6219995.117982001, 571644.661342085 6219957.47564399), (571595.9119106068 6220072.082316133, 571590.8901914305 6220067.753197313, 571588.4906507403 6220064.323895337, 571586.6600733065 6220060.904591327, 571570.4569892648 6220026.95150238), (571630.4455065186 6219995.117982001, 571683.1776807918 6220033.540161277))"
Montanagade,Frederiksbjerg Øst,141.0,9450.0,H.N. Clausens Gade,Vestervang,Arnegårdsvej,Skovvejen,Katrinebjergvej,141.2,140.7,141.5,140.5,140.4,Frederiksbjerg Øst,Vestervang/Klostervang/Ø-gaderne,Åby,Nordre Kirkegård,Skejby-Christiansbjerg,2,"LINESTRING (574547.6190723537 6223213.3229256915, 574548.6992779565 6223095.576892557, 574550.4556427916 6222995.337296036, 574550.6205596775 6222923.581901639, 574553.1272963434 6222879.010973923)"
Morten Børups Gade,Rådhuskvarteret,139.0,9900.0,Skovvangsvej,Hvidkløvervej,Møllevangs Alle,Olof Palmes Alle,Solbakken,139.0,139.1,139.1,139.2,139.5,Skejby-Christiansbjerg,Skejby-Christiansbjerg,Hasle,Skejby-Christiansbjerg,Vejlby-Risskov,2,"LINESTRING (574450.7716310966 6223382.128565792, 574352.406954489 6223376.41972781, 574346.6513551704 6223377.199569074, 574343.0809045902 6223381.298734701, 574338.0674312582 6223389.747015079, 574333.911525733 6223398.525228298)"
Museumsgade,Ceresbyen/Godsbanen,124.0,12587.666666666666,Gammel Munkegade,Nørre Alle,Bronzealdervej,Kongsvang Alle,Nyborggade,124.0,124.0,124.0,123.8,124.3,Klostertorv/Vesterbro Torv,Klostertorv/Vesterbro Torv,Tilst,Viby,Frederiksbjerg Øst,6,"LINESTRING (574489.5270992881 6224140.134275922, 574473.3899820007 6224136.0051164, 574369.6325232234 6224103.301773071, 574353.5613726905 6224098.592731583)"
Møllegade,Mølleparken,126.8,9540.0,Niels Juels Gade,Fredensvej,Horsensgade,Doris Kæraas Gade,Skovgaardsgade,126.8,127.0,127.0,126.6,127.0,Trøjborg,Viby,Frederiksbjerg Vest,Vejlby-Risskov,Ceresbyen/Godsbanen,5,"MULTILINESTRING ((574621.4276246476 6224058.520888091, 574613.4621390577 6224153.471561156), (574613.4621390577 6224153.471561156, 574613.9651355597 6224158.810474436, 574615.2844706471 6224163.969424346, 574623.5880358532 6224184.8751690425, 574652.9927166129 6224254.790937889, 574653.3307962291 6224258.220239866, 574653.8420385754 6224263.989065638), (574613.4621390577 6224153.471561156, 574499.7931754366 6224142.913710176))"
Møllegangen,Vejlby-Risskov,99.0,11000.0,Hammershusvej,Lisbjergbakken,Holmevej,Stenaldervej,Kettinggårdsvej,98.7,99.5,98.5,98.3,98.0,Hasle,Lisbjerg,Holme-Højbjerg-Skåde,Tilst,Harlev-Framlev,1,"LINESTRING (575492.4114201065 6227529.154450666, 575497.2105014868 6227611.11776727, 575497.7382355217 6227616.756619498, 575499.7584673743 6227622.835382183, 575502.4301209262 6227628.724183535, 575506.1984717695 6227633.423227059, 575510.1894604088 6227637.322433386, 575514.848362436 6227640.431800484, 575521.6511839803 6227643.381200141, 575535.5124482419 6227647.2804064695, 575555.764241833 6227653.519136594)"
Møllehatten,Vejlby-Risskov,125.4,8782.87356321839,Ålborggade,Haderslevgade,Baldersgade,Brobjerg Parkvej,Jægergårdsgade,125.4,125.5,125.8,125.0,125.9,Frederiksbjerg Vest,Viby,Åby,Skæring-Egå,Frederiksbjerg Øst,87,"MULTILINESTRING ((575235.2730115785 6227494.941414631, 575097.5426743015 6227408.83894054, 575124.7209771014 6227366.697518305), (575382.1397443354 6227588.362399059, 575235.2730115785 6227494.941414631))"
Møllevangs Alle,Hasle,139.1,8333.631578947368,Hvidkløvervej,Olof Palmes Alle,Skovvangsvej,Morten Børups Gade,Solbakken,139.1,139.2,139.0,139.0,139.5,Skejby-Christiansbjerg,Skejby-Christiansbjerg,Skejby-Christiansbjerg,Rådhuskvarteret,Vejlby-Risskov,19,"LINESTRING (573448.4645193788 6225024.18433009, 573460.0087013933 6225101.278637767, 573471.8497338024 6225107.037465573, 573473.2680190214 6225111.686519273, 573482.173530861 6225168.724909273, 573482.0333515081 6225185.581478167, 573491.5325641371 6225251.608038652, 573504.6929316336 6225342.869462653, 573511.5782116208 6225388.560162443, 573515.2641040211 6225415.274724771, 573521.4979623089 6225460.075605681, 573527.9956876142 6225505.046451995, 573535.8127480069 6225559.325403672, 573542.0136229175 6225605.236058691, 573542.2857357793 6225607.245649644, 573550.910888913 6225666.323624494, 573560.2204471232 6225731.720313187, 573568.9692879213 6225795.657298998, 573581.7503465802 6225883.069506496, 573605.9271620562 6226053.344847443, 573613.2742093239 6226102.4648492085, 573628.5372671159 6226181.718717313, 573643.8910291952 6226257.553281407, 573660.3249968772 6226341.216252051, 573675.8519216867 6226417.4207408475, 573679.174996938 6226435.087144902, 573687.4373329226 6226468.300384443, 573693.2836365285 6226489.236123035, 573698.8248438955 6226506.252659367, 573705.2895858235 6226524.3489759145, 573714.5579148124 6226549.323892343, 573727.1575648967 6226577.698116851, 573736.0795684251 6226596.374315365, 573742.8494065921 6226608.791787825, 573748.4895640906 6226619.869532982, 573756.0180199329 6226632.297003406, 573765.1956446344 6226647.603887734, 573769.780334063 6226655.522275968, 573777.8777531617 6226667.7797809895, 573785.0681293879 6226678.427613653, 573795.1857803392 6226693.174611945, 573827.7073902427 6226735.5859792335, 573835.1946168635 6226744.724119192, 573844.5454042953 6226754.79206989)"
Møllevejen,Botanisk Have/Amtssygehuset,156.0,7995.0,Vestre Strandalle,Åboulevarden,Bøgegade,Østergade,Kløvermarksvej,155.9,155.1,154.3,154.1,154.0,Vejlby-Risskov,Skolegade/Bispetorv/Europaplads,Skejby-Christiansbjerg,TelefonTorvet,Skejby-Christiansbjerg,1,"MULTILINESTRING ((574183.7547011019 6224477.435619209, 574185.2471989194 6224460.699025894, 574186.1872251693 6224455.130159421, 574200.41130658 6224422.656769285), (574376.2539361932 6224512.438494475, 574366.6227900553 6224508.499296287, 574296.6403095148 6224496.641709864, 574282.160606931 6224493.9222634, 574238.3504361861 6224486.723728641, 574209.3085725753 6224481.614768555, 574199.6691805932 6224480.005096199, 574183.7547011019 6224477.435619209), (574183.7547011019 6224477.435619209, 574146.6236642367 6224471.756775121))"
Nagelsvej,Holme-Højbjerg-Skåde,112.0,9000.0,J. Skjoldborgs Vej,Ole Rømers Gade,Elverdalsvej,Skolegade,Gustav Holms Vej,112.0,112.0,112.0,112.0,112.2,Åby,Frederiksbjerg Øst,Holme-Højbjerg-Skåde,Skolegade/Bispetorv/Europaplads,Vejlby-Risskov,1,"MULTILINESTRING ((575054.7384965607 6219781.411481341, 575085.6191834494 6219781.211522042, 575114.792980569 6219780.841597339, 575151.7426088594 6219778.712030807, 575157.6796167527 6219777.30231775, 575164.68033856 6219773.80303002, 575169.2485363 6219769.883827762), (575169.2485363 6219769.883827762, 575175.0206273072 6219766.554505436, 575181.1637813078 6219765.334753713, 575220.5706711987 6219758.496145692, 575269.4850195628 6219749.338009804, 575284.6491272232 6219745.818726144, 575290.3964806976 6219743.629171821), (575290.3964806976 6219743.629171821, 575326.3318701398 6219728.692212196), (575326.3318701398 6219728.692212196, 575364.551358452 6219712.635480497, 575395.8113541782 6219699.108233929, 575401.682395317 6219691.189845694), (575169.2485363 6219769.883827762, 575170.8564759378 6219754.416975995, 575175.9688994013 6219712.825441831), (575290.3964806976 6219743.629171821, 575286.6198840099 6219737.030514958, 575269.9220493105 6219695.4089869), (575326.3318701398 6219728.692212196, 575328.0964808192 6219733.501233334, 575328.9787861588 6219737.62039489, 575335.4517739312 6219774.322924197, 575345.6848667025 6219832.901000799))"
Niels Juels Gade,Trøjborg,126.8,9264.166666666666,Møllegade,Fredensvej,Horsensgade,Doris Kæraas Gade,Skovgaardsgade,126.8,127.0,127.0,126.6,127.0,Mølleparken,Viby,Frederiksbjerg Vest,Vejlby-Risskov,Ceresbyen/Godsbanen,12,"LINESTRING (575700.7179387133 6225614.164241385, 575621.5908168484 6225635.799837522, 575559.1285463058 6225652.566424732, 575501.4571112993 6225668.803119799, 575484.9901602401 6225673.122240655, 575436.2077453847 6225686.499517749, 575424.7542676574 6225689.938817689, 575328.0140223762 6225717.203268089, 575239.6680465883 6225740.958432795)"
