web-scraper-order,web-scraper-start-url,price,address,type_rooms_kvm
1684829071-147,https://boligzonen.dk/lejebolig/aarhus,7.800,"Marselis Boulevard, Aarhus C",Lejlighed / 2 vær. / 69 m2
1684829071-148,https://boligzonen.dk/lejebolig/aarhus,11.900,"Chr. Værums Gade , Aarhus C",Lejlighed / 1 vær. / 98 m2
1684829071-149,https://boligzonen.dk/lejebolig/aarhus,8.500,"Møllevangs Allé, Aarhus N",Lejlighed / 3 vær. / 59 m2
1684829071-150,https://boligzonen.dk/lejebolig/aarhus,14.000,"Højvangsvej, Viby J",Hus / 4 vær. / 139 m2
1684829075-151,https://boligzonen.dk/lejebolig/aarhus,7.995,"Møllehatten, Risskov",Lejlighed / 2 vær. / 65 m2
1684829075-152,https://boligzonen.dk/lejebolig/aarhus,5.495,"Kappelvænget, Aarhus V",Lejlighed / 2 vær. / 48 m2
1684829075-153,https://boligzonen.dk/lejebolig/aarhus,11.150,"Åbyvej, Åbyhøj",Lejlighed / 3 vær. / 85 m2
1684829075-154,https://boligzonen.dk/lejebolig/aarhus,8.500,"Helge Rodes Vej, Aarhus V",Lejlighed / 3 vær. / 73 m2
1684829075-155,https://boligzonen.dk/lejebolig/aarhus,11.800,"Emiliedalsvej, Højbjerg",Lejlighed / 3 vær. / 100 m2
1684829075-156,https://boligzonen.dk/lejebolig/aarhus,9.611,"Otto Brandenburgs Gade , Aarhus C",Lejlighed / 3 vær. / 70 m2
1684829075-157,https://boligzonen.dk/lejebolig/aarhus,8.695,"Møllehatten, Risskov",Lejlighed / 3 vær. / 65 m2
1684829075-158,https://boligzonen.dk/lejebolig/aarhus,9.708,"Sjællandsgade, Aarhus C",Lejlighed / 3 vær. / 75 m2
1684829075-159,https://boligzonen.dk/lejebolig/aarhus,9.900,"Vesterport, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829075-160,https://boligzonen.dk/lejebolig/aarhus,6.250,"Bronzealdervænget, Aarhus V",Lejlighed / 2 vær. / 42 m2
1684829075-161,https://boligzonen.dk/lejebolig/aarhus,9.200,"Broloftet, Risskov",Lejlighed / 3 vær. / 82 m2
1684829075-162,https://boligzonen.dk/lejebolig/aarhus,8.695,"Skovvejen, Aarhus C",Lejlighed / 2 vær. / 67 m2
1684829075-163,https://boligzonen.dk/lejebolig/aarhus,7.695,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 52 m2
1684829075-164,https://boligzonen.dk/lejebolig/aarhus,22.995,"Mariane Thomsens Gade, Aarhus C",Lejlighed / 4 vær. / 218 m2
1684829075-165,https://boligzonen.dk/lejebolig/aarhus,5.845,"Tulipanhaven, Aarhus N",Lejlighed / 2 vær. / 35 m2
1684829079-166,https://boligzonen.dk/lejebolig/aarhus,7.250,"Vintervej, Aarhus V",Lejlighed / 3 vær. / 52 m2
1684829079-167,https://boligzonen.dk/lejebolig/aarhus,8.608,"Kværnloftet, Risskov",Lejlighed / 2 vær. / 69 m2
1684829079-168,https://boligzonen.dk/lejebolig/aarhus,9.900,"Vesterport, Aarhus C",Lejlighed / 3 vær. / 72 m2
1684829079-169,https://boligzonen.dk/lejebolig/aarhus,7.595,"Skanderborgvej, Viby J",Lejlighed / 3 vær. / 58 m2
1684829079-170,https://boligzonen.dk/lejebolig/aarhus,8.155,"Drosbjerg, Viby J",Lejlighed / 3 vær. / 67 m2
1684829079-171,https://boligzonen.dk/lejebolig/aarhus,6.995,"Damagervej, Viby J",Lejlighed / 2 vær. / 67 m2
1684829079-172,https://boligzonen.dk/lejebolig/aarhus,7.750,"Olof Palmes Allé, Aarhus N",Lejlighed / 2 vær. / 62 m2
1684829079-173,https://boligzonen.dk/lejebolig/aarhus,11.500,"Åboulevarden, Aarhus C",Lejlighed / 3 vær. / 69 m2
1684829079-174,https://boligzonen.dk/lejebolig/aarhus,10.200,"Søren Frichs Vej, Åbyhøj",Lejlighed / 3 vær. / 77 m2
1684829079-175,https://boligzonen.dk/lejebolig/aarhus,8.500,"Vesterport, Aarhus C",Lejlighed / 2 vær. / 70 m2
1684829079-176,https://boligzonen.dk/lejebolig/aarhus,11.960,"Mejlgade, Aarhus C",Lejlighed / 3 vær. / 105 m2
1684829079-177,https://boligzonen.dk/lejebolig/aarhus,14.550,"Gustav Holms Vej, Aarhus N",Hus / 4 vær. / 128 m2
1684829079-178,https://boligzonen.dk/lejebolig/aarhus,7.160,"Nordborggade , Aarhus C",Lejlighed / 2 vær. / 67 m2
1684829079-179,https://boligzonen.dk/lejebolig/aarhus,7.500,"Dirch Passers Gade, Aarhus C",Lejlighed / 1 vær. / 42 m2
1684829079-180,https://boligzonen.dk/lejebolig/aarhus,8.595,"Vistihøjen, Aarhus N",Lejlighed / 3 vær. / 86 m2
1684829083-181,https://boligzonen.dk/lejebolig/aarhus,7.300,"Jens Baggesens Vej, Aarhus N",Lejlighed / 2 vær. / 48 m2
1684829083-182,https://boligzonen.dk/lejebolig/aarhus,10.000,"Viborgvej , Aarhus V",Hus / 1 vær. / 77 m2
1684829083-183,https://boligzonen.dk/lejebolig/aarhus,8.145,"Tulipanhaven, Aarhus N",Lejlighed / 3 vær. / 62 m2
1684829083-184,https://boligzonen.dk/lejebolig/aarhus,7.795,"Vintervej, Aarhus V",Lejlighed / 3 vær. / 62 m2
1684829083-185,https://boligzonen.dk/lejebolig/aarhus,12.168,"Skanderborgvej, Aarhus C",Lejlighed / 5 vær. / 108 m2
1684829083-186,https://boligzonen.dk/lejebolig/aarhus,15.650,"Thit Jensens Gade, Aarhus C",Lejlighed / 5 vær. / 140 m2
1684829083-187,https://boligzonen.dk/lejebolig/aarhus,4.265,"Molsgade, Aarhus C",Værelse / 1 vær. / 15 m2
1684829083-188,https://boligzonen.dk/lejebolig/aarhus,6.695,"Vintervej, Aarhus V",Lejlighed / 2 vær. / 50 m2
1684829083-189,https://boligzonen.dk/lejebolig/aarhus,7.700,"Lokesvej, Åbyhøj",Lejlighed / 2 vær. / 51 m2
1684829083-190,https://boligzonen.dk/lejebolig/aarhus,10.595,"Daugbjergvej, Aarhus C",Lejlighed / 3 vær. / 83 m2
1684829083-191,https://boligzonen.dk/lejebolig/aarhus,6.820,"Onsholtvej, Viby J",Lejlighed / 2 vær. / 59 m2
1684829083-192,https://boligzonen.dk/lejebolig/aarhus,8.995,"Trøjborgvej, Aarhus N",Lejlighed / 3 vær. / 70 m2
1684829083-193,https://boligzonen.dk/lejebolig/aarhus,9.000,"Nørre Allé, Aarhus C",Lejlighed / 2 vær. / 63 m2
1684829083-194,https://boligzonen.dk/lejebolig/aarhus,4.995,"Engtoften, Viby J",Lejlighed / 1 vær. / 45 m2
1684829083-195,https://boligzonen.dk/lejebolig/aarhus,4.000,"Viborgvej , Aarhus V",Værelse / 1 vær. / 11 m2
1684829087-196,https://boligzonen.dk/lejebolig/aarhus,7.600,"Onsholtvej, Viby J",Lejlighed / 3 vær. / 73 m2
1684829087-197,https://boligzonen.dk/lejebolig/aarhus,7.895,"Søren Frichs Vej, Åbyhøj",Lejlighed / 2 vær. / 58 m2
1684829087-198,https://boligzonen.dk/lejebolig/aarhus,11.100,"Sifsgade, Åbyhøj",Lejlighed / 4 vær. / 88 m2
1684829087-199,https://boligzonen.dk/lejebolig/aarhus,7.750,"Olof Palmes Allé, Aarhus N",Lejlighed / 2 vær. / 62 m2
