web-scraper-order,web-scraper-start-url,price,address,kvm,rooms
"1684834100-134","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.600,- pr. mdr.","Arresøvej, Risskov","76 m²","3 vær."
"1684834100-135","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.200,- pr. mdr.","Vestergade, Århus C","44 m²","1 vær."
"1684834100-136","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.305,- pr. mdr.","Ellen Jensens Gade, Risskov","88 m²","3 vær."
"1684834100-137","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.019,- pr. mdr.","Engtoften, Viby J","107 m²","4 vær."
"1684834100-138","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.500,- pr. mdr.","Engtoften, Viby J","128 m²","4 vær."
"1684834100-139","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.695,- pr. mdr.","Søren Frichs Vej, Åbyhøj","52 m²","2 vær."
"1684834100-140","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.860,- pr. mdr.","Tommy Seebachs Gade, Århus C","84 m²","3 vær."
"1684834100-141","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.599,- pr. mdr.","Paradisgade, Århus C","53 m²","1 vær."
"1684834100-142","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","6.695,- pr. mdr.","Egelunden Type G, Århus V","45 m²","2 vær."
"1684834100-143","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","14.060,- pr. mdr.","Tommy Seebachs Gade, Århus C","111 m²","4 vær."
"1684834100-144","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.975,- pr. mdr.","Engtoften, Viby J","79 m²","3 vær."
"1684834100-145","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.027,- pr. mdr.","Engtoften, Viby J","78 m²","3 vær."
"1684834100-146","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.600,- pr. mdr.","Kværnloftet, Risskov","114 m²","4 vær."
"1684834100-147","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.644,- pr. mdr.","Eya Jensens Gade, Risskov","60 m²","2 vær."
"1684834100-148","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.055,- pr. mdr.","Engtoften, Viby J","85 m²","3 vær."
"1684834100-149","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.969,- pr. mdr.","Eya Jensens Gade, Risskov","85 m²","4 vær."
"1684834100-150","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.500,- pr. mdr.","Engtoften, Viby J","77 m²","2 vær."
"1684834100-151","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.900,- pr. mdr.","Engtoften, Viby J","83 m²","3 vær."
"1684834100-152","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","4.900,- pr. mdr.","Christian X's Vej, Viby J","30 m²","1 vær."
"1684834100-153","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.300,- pr. mdr.","Lokesvej, Åbyhøj","73 m²","2 vær."
"1684834100-154","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.900,- pr. mdr.","Baldersgade, Åbyhøj","95 m²","3 vær."
"1684834100-155","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","10.490,- pr. mdr.","Broloftet, Risskov","92 m²","3 vær."
"1684834100-156","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","7.100,- pr. mdr.","Arresøvej, Risskov","51 m²","2 vær."
"1684834100-157","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.098,- pr. mdr.","Katrinebjergvej, Århus N","56 m²","1 vær."
"1684834100-158","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","9.112,- pr. mdr.","Engholms Alle, Risskov","89 m²","3 vær."
"1684834100-159","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Abildhaven, Lystrup","85 m²","3 vær."
"1684834100-160","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","8.395,- pr. mdr.","Abildhaven, Lystrup","84 m²","3 vær."
"1684834100-161","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","13.375,- pr. mdr.","Tove Ditlevsens Gade, Risskov","113 m²","4 vær."
"1684834100-162","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","12.000,- pr. mdr.","Borggade, Århus C","87 m²","1 vær."
"1684834100-163","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","11.296,- pr. mdr.","Katrinebjergvej, Århus N","86 m²","3 vær."
"1684834100-164","https://minlejebolig.dk/lejeboliger/ledige-lejeboliger/aarhus","5.950,- pr. mdr.","Vestre Strandallé, Risskov","35 m²","1 vær."
